Archivo,Name,Folder,Media,Desviacion estandar,Valor minimo,Valor maximo,Numero de bordes
1,AOT (1).png,attackOnTitan_fotos,16.865262345679014,13.760977299140894,0.0,56.0,0
2,AOT (2).png,attackOnTitan_fotos,136.5515239197531,64.69130292835428,8.0,255.0,26733
3,AOT (3).png,attackOnTitan_fotos,157.12355709876545,49.355644753375756,37.0,243.0,1907
4,AOT (4).png,attackOnTitan_fotos,180.51586805555556,39.37023189015325,41.0,244.0,161
5,AOT (5).png,attackOnTitan_fotos,210.59391830632717,17.401861639888644,122.0,239.0,0
6,AOT (6).png,attackOnTitan_fotos,201.2843180941358,24.671423082689213,117.0,244.0,0
7,AOT (7).png,attackOnTitan_fotos,172.40370659722223,34.22709265875069,47.0,251.0,31697
8,AOT (8).png,attackOnTitan_fotos,28.827795138888888,43.8736820108186,0.0,255.0,11278
9,AOT (9).png,attackOnTitan_fotos,164.8628549382716,83.32279263237439,0.0,255.0,38848
10,AOT (10).png,attackOnTitan_fotos,28.271019965277777,41.82813085147313,0.0,244.0,9313
11,AOT (11).png,attackOnTitan_fotos,32.05085069444444,36.53115897228158,0.0,240.0,8193
12,AOT (12).png,attackOnTitan_fotos,53.902342303240744,45.66160215301563,0.0,255.0,12150
13,AOT (13).png,attackOnTitan_fotos,126.28940441743828,80.76261478766094,6.0,254.0,510
14,AOT (14).png,attackOnTitan_fotos,156.76690055941359,53.717112665367,38.0,249.0,2674
15,AOT (15).png,attackOnTitan_fotos,148.2675636574074,39.306660592115186,39.0,255.0,12304
16,AOT (16).png,attackOnTitan_fotos,71.87934220679013,64.83598914921974,0.0,255.0,55310
17,AOT (17).png,attackOnTitan_fotos,32.82124855324074,36.07442303733503,0.0,244.0,10483
18,AOT (18).png,attackOnTitan_fotos,72.16814187885802,42.198249561098685,0.0,225.0,15832
19,AOT (19).png,attackOnTitan_fotos,82.63543788580247,59.49468224969916,0.0,255.0,76095
20,AOT (20).png,attackOnTitan_fotos,68.01810136959877,61.5543521804893,0.0,255.0,59357
21,AOT (21).png,attackOnTitan_fotos,114.15946759259259,50.435256637984736,0.0,255.0,20992
22,AOT (22).png,attackOnTitan_fotos,88.69457706404322,30.439794424345138,18.0,208.0,1541
23,AOT (23).png,attackOnTitan_fotos,61.70903694058642,36.58312321356684,0.0,219.0,2234
24,AOT (24).png,attackOnTitan_fotos,122.16591049382717,98.39370415480715,0.0,255.0,33699
25,AOT (25).png,attackOnTitan_fotos,47.38446277006173,38.9971559250892,0.0,255.0,10762
26,AOT (26).png,attackOnTitan_fotos,52.043339602623455,46.46902603922912,0.0,231.0,7203
27,AOT (27).png,attackOnTitan_fotos,130.80243007330247,66.9396901923606,0.0,254.0,0
28,AOT (28).png,attackOnTitan_fotos,173.8518291859568,56.48571202169059,0.0,255.0,46034
29,AOT (29).png,attackOnTitan_fotos,63.103131269290124,40.423636820630875,0.0,242.0,33208
30,AOT (30).png,attackOnTitan_fotos,198.17166329089505,38.91680879927925,26.0,255.0,62019
31,AOT (31).png,attackOnTitan_fotos,176.41230613425927,44.25851058112988,1.0,255.0,80529
32,AOT (32).png,attackOnTitan_fotos,199.62573640046296,41.74456081921066,60.0,248.0,473
33,AOT (33).png,attackOnTitan_fotos,174.48525318287037,40.48447448245921,80.0,255.0,7665
34,AOT (34).png,attackOnTitan_fotos,223.33266203703704,24.4128985710508,76.0,250.0,569
35,AOT (35).png,attackOnTitan_fotos,220.64646556712964,25.73504761845343,109.0,251.0,0
36,AOT (36).png,attackOnTitan_fotos,192.05674672067903,37.89604156819129,60.0,250.0,0
37,AOT (37).png,attackOnTitan_fotos,180.25488859953705,34.70541887123538,87.0,241.0,0
38,AOT (38).png,attackOnTitan_fotos,171.14432677469136,46.79821924897034,47.0,255.0,21145
39,AOT (39).png,attackOnTitan_fotos,185.96447145061728,42.40504641307112,30.0,250.0,17157
40,AOT (40).png,attackOnTitan_fotos,208.53770495756174,36.73806352482068,49.0,250.0,376
